,Unnamed: 0,name,id_x,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id_y,uri,track_href,analysis_url,duration_ms,time_signature
0,0,Fortnight (feat. Post Malone),6dODwocEuGzHAavXqTbwHv,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.504,0.386,11,-10.976,1,0.0308,0.502,1.53e-05,0.0961,0.281,192.004,audio_features,6dODwocEuGzHAavXqTbwHv,spotify:track:6dODwocEuGzHAavXqTbwHv,https://api.spotify.com/v1/tracks/6dODwocEuGzHAavXqTbwHv,https://api.spotify.com/v1/audio-analysis/6dODwocEuGzHAavXqTbwHv,228965,4
1,1,The Tortured Poets Department,4PdLaGZubp4lghChqp8erB,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.604,0.428,0,-8.441,1,0.0255,0.0483,0.0,0.126,0.292,110.259,audio_features,4PdLaGZubp4lghChqp8erB,spotify:track:4PdLaGZubp4lghChqp8erB,https://api.spotify.com/v1/tracks/4PdLaGZubp4lghChqp8erB,https://api.spotify.com/v1/audio-analysis/4PdLaGZubp4lghChqp8erB,293048,4
2,2,My Boy Only Breaks His Favorite Toys,7uGYWMwRy24dm7RUDDhUlD,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.596,0.563,0,-7.362,1,0.0269,0.137,0.0,0.302,0.481,97.073,audio_features,7uGYWMwRy24dm7RUDDhUlD,spotify:track:7uGYWMwRy24dm7RUDDhUlD,https://api.spotify.com/v1/tracks/7uGYWMwRy24dm7RUDDhUlD,https://api.spotify.com/v1/audio-analysis/7uGYWMwRy24dm7RUDDhUlD,203801,4
3,3,Down Bad,1kbEbBdEgQdQeLXCJh28pJ,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.541,0.366,11,-10.412,1,0.0748,0.56,1e-06,0.0946,0.168,159.707,audio_features,1kbEbBdEgQdQeLXCJh28pJ,spotify:track:1kbEbBdEgQdQeLXCJh28pJ,https://api.spotify.com/v1/tracks/1kbEbBdEgQdQeLXCJh28pJ,https://api.spotify.com/v1/audio-analysis/1kbEbBdEgQdQeLXCJh28pJ,261228,4
4,4,"So Long, London",7wAkQFShJ27V8362MqevQr,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.423,0.533,9,-11.388,1,0.322,0.73,0.00264,0.0816,0.248,160.218,audio_features,7wAkQFShJ27V8362MqevQr,spotify:track:7wAkQFShJ27V8362MqevQr,https://api.spotify.com/v1/tracks/7wAkQFShJ27V8362MqevQr,https://api.spotify.com/v1/audio-analysis/7wAkQFShJ27V8362MqevQr,262975,4
5,5,But Daddy I Love Him,4QMgEffJQuKtjCNvqfRZ0m,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.521,0.72,4,-7.684,1,0.104,0.384,0.0,0.135,0.438,79.943,audio_features,4QMgEffJQuKtjCNvqfRZ0m,spotify:track:4QMgEffJQuKtjCNvqfRZ0m,https://api.spotify.com/v1/tracks/4QMgEffJQuKtjCNvqfRZ0m,https://api.spotify.com/v1/audio-analysis/4QMgEffJQuKtjCNvqfRZ0m,340428,4
6,6,Fresh Out The Slammer,7IWcDWOfiooH5hRs9XOVYz,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.33,0.483,9,-9.394,1,0.0399,0.624,0.0,0.111,0.34,87.115,audio_features,7IWcDWOfiooH5hRs9XOVYz,spotify:track:7IWcDWOfiooH5hRs9XOVYz,https://api.spotify.com/v1/tracks/7IWcDWOfiooH5hRs9XOVYz,https://api.spotify.com/v1/audio-analysis/7IWcDWOfiooH5hRs9XOVYz,210789,4
7,7,Florida!!! (feat. Florence + The Machine),5ExOm0dh4NyRyAdSAO9hyM,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.533,0.573,0,-7.123,1,0.138,0.178,0.0,0.309,0.398,150.088,audio_features,5ExOm0dh4NyRyAdSAO9hyM,spotify:track:5ExOm0dh4NyRyAdSAO9hyM,https://api.spotify.com/v1/tracks/5ExOm0dh4NyRyAdSAO9hyM,https://api.spotify.com/v1/audio-analysis/5ExOm0dh4NyRyAdSAO9hyM,215463,4
8,8,Guilty as Sin?,799KrpEbhZp0MHeiA8YK9P,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.626,0.428,2,-8.374,1,0.0261,0.607,0.0,0.0921,0.487,94.95,audio_features,799KrpEbhZp0MHeiA8YK9P,spotify:track:799KrpEbhZp0MHeiA8YK9P,https://api.spotify.com/v1/tracks/799KrpEbhZp0MHeiA8YK9P,https://api.spotify.com/v1/audio-analysis/799KrpEbhZp0MHeiA8YK9P,254366,3
9,9,Who’s Afraid of Little Old Me?,2d8UxVNhJinc8uat9PoM9y,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.606,0.338,0,-10.555,1,0.048,0.315,0.0,0.106,0.238,119.88,audio_features,2d8UxVNhJinc8uat9PoM9y,spotify:track:2d8UxVNhJinc8uat9PoM9y,https://api.spotify.com/v1/tracks/2d8UxVNhJinc8uat9PoM9y,https://api.spotify.com/v1/audio-analysis/2d8UxVNhJinc8uat9PoM9y,334085,4
