,name,id,album,date
0,Fortnight (feat. Post Malone),6dODwocEuGzHAavXqTbwHv,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19
1,The Tortured Poets Department,4PdLaGZubp4lghChqp8erB,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19
2,My Boy Only Breaks His Favorite Toys,7uGYWMwRy24dm7RUDDhUlD,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19
3,Down Bad,1kbEbBdEgQdQeLXCJh28pJ,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19
4,"So Long, London",7wAkQFShJ27V8362MqevQr,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19
5,But Daddy I Love Him,4QMgEffJQuKtjCNvqfRZ0m,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19
6,Fresh Out The Slammer,7IWcDWOfiooH5hRs9XOVYz,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19
7,Florida!!! (feat. Florence + The Machine),5ExOm0dh4NyRyAdSAO9hyM,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19
8,Guilty as Sin?,799KrpEbhZp0MHeiA8YK9P,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19
9,Who’s Afraid of Little Old Me?,2d8UxVNhJinc8uat9PoM9y,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19
10,I Can Fix Him (No Really I Can),5chnRTB9qMK3W1M41SnU9s,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19
11,loml,3YkNIrAvbKNrrwwEd7NVLl,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19
12,I Can Do It With a Broken Heart,2fPvQfGQEZOKtJ9qXeL4x8,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19
13,The Smallest Man Who Ever Lived,1xtw1krCR6Dw2KwkXw5z63,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19
14,The Alchemy,1tuNqJOtRQVHvONR8Lg3MZ,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19
15,Clara Bow,4d9PtIEVij9jW5OaLinH66,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19
16,The Black Dog,62E2nR0od0M5HYxuYLaDz7,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19
17,imgonnagetyouback,1kcwpPDQnqEqmezzXdJTCP,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19
18,The Albatross,4EF6IyONolQy0bIQXm2EmX,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19
19,Chloe or Sam or Sophia or Marcus,1rmEsOezwf2lmIZTMAO5Ag,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19
20,How Did It End?,5Bedn0svl0ZD7RGmJkmKKw,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19
21,So High School,7Mts0OfPorF4iwOomvfqn1,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19
22,I Hate It Here,3hlGuz3loYoLfI3bpwieWq,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19
23,thanK you aIMee,7ogK4lJDVDMU6A6vYR5rvD,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19
24,I Look in People's Windows,1Zai5UJ2di3qEuR2HeT2s8,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19
25,The Prophecy,18WFFUIsewmA8g31KAeo3e,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19
26,Cassandra,0g4fMVo4JjwnIpTfFfLdxS,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19
27,Peter,3zMDGj4D8ogaYgAIZPeU7S,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19
28,The Bolter,2913xXOVAIDAqxzV2g4VcU,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19
29,Robin,2CnjDMdpRjlWv04Xk3s6MW,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19
30,The Manuscript,1DTRUYVd8rYpla9hhVVwjo,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19
31,Fortnight (feat. Post Malone),2OzhQlSqBEmt7hmkYxfT6m,THE TORTURED POETS DEPARTMENT,2024-04-18
32,The Tortured Poets Department,3NMrVbIVWT3fPXBj0rNDKG,THE TORTURED POETS DEPARTMENT,2024-04-18
33,My Boy Only Breaks His Favorite Toys,2XXwLdtuAcE0HSCu61ijAb,THE TORTURED POETS DEPARTMENT,2024-04-18
34,Down Bad,2F3N9tdombb64aW6VtZOdo,THE TORTURED POETS DEPARTMENT,2024-04-18
35,"So Long, London",3Vevii7qKqrmW8CcyzBHDl,THE TORTURED POETS DEPARTMENT,2024-04-18
36,But Daddy I Love Him,5og4Qzt92jJzVDkOtSEilb,THE TORTURED POETS DEPARTMENT,2024-04-18
37,Fresh Out The Slammer,3fO566xJgwxIa3qGCGBvIC,THE TORTURED POETS DEPARTMENT,2024-04-18
38,Florida!!! (feat. Florence + The Machine),3ZVFcD8Wlw9T9klGqmJf9F,THE TORTURED POETS DEPARTMENT,2024-04-18
39,Guilty as Sin?,0W0iAC1VGlB82PI6elxFYf,THE TORTURED POETS DEPARTMENT,2024-04-18
40,Who’s Afraid of Little Old Me?,36t6frENUtCYKuZus6aYDO,THE TORTURED POETS DEPARTMENT,2024-04-18
41,I Can Fix Him (No Really I Can),2h3MDMf8sd9s4XIzpTBIjX,THE TORTURED POETS DEPARTMENT,2024-04-18
42,loml,6RSG1dKPV5gEvILwJb4QtS,THE TORTURED POETS DEPARTMENT,2024-04-18
43,I Can Do It With a Broken Heart,4q5YezDOIPcoLr8R81x9qy,THE TORTURED POETS DEPARTMENT,2024-04-18
44,The Smallest Man Who Ever Lived,2v1ivOOsgn64g5OywuH55L,THE TORTURED POETS DEPARTMENT,2024-04-18
45,The Alchemy,1dhMTsEZz6ZEquGvmzVoHn,THE TORTURED POETS DEPARTMENT,2024-04-18
46,Clara Bow,1UlhrRvYzbHEyugEDspXUB,THE TORTURED POETS DEPARTMENT,2024-04-18
47,Welcome To New York (Taylor's Version),4WUepByoeqcedHoYhSNHRt,1989 (Taylor's Version) [Deluxe],2023-10-27
48,Blank Space (Taylor's Version),0108kcWLnn2HlH2kedi1gn,1989 (Taylor's Version) [Deluxe],2023-10-27
49,Style (Taylor's Version),3Vpk1hfMAQme8VJ0SNRSkd,1989 (Taylor's Version) [Deluxe],2023-10-27
50,Out Of The Woods (Taylor's Version),1OcSfkeCg9hRC2sFKB4IMJ,1989 (Taylor's Version) [Deluxe],2023-10-27
51,All You Had To Do Was Stay (Taylor's Version),2k0ZEeAqzvYMcx9Qt5aClQ,1989 (Taylor's Version) [Deluxe],2023-10-27
52,Shake It Off (Taylor's Version),50yNTF0Od55qnHLxYsA5Pw,1989 (Taylor's Version) [Deluxe],2023-10-27
53,I Wish You Would (Taylor's Version),3FxJDucHWdw6caWTKO5b23,1989 (Taylor's Version) [Deluxe],2023-10-27
54,Bad Blood (Taylor's Version),7oZONwFiFIErZcXAtTu7FY,1989 (Taylor's Version) [Deluxe],2023-10-27
55,Wildest Dreams (Taylor's Version),27exgla7YBw9DUNNcTIpjy,1989 (Taylor's Version) [Deluxe],2023-10-27
56,How You Get The Girl (Taylor's Version),733OhaXQIHY7BKtY3vnSkn,1989 (Taylor's Version) [Deluxe],2023-10-27
57,This Love (Taylor’s Version),4WBEj8TeGtRPNJdOmT3WJW,1989 (Taylor's Version) [Deluxe],2023-10-27
58,I Know Places (Taylor's Version),1ULabO0PEsdJekqVH6G10G,1989 (Taylor's Version) [Deluxe],2023-10-27
59,Clean (Taylor's Version),0lKUBmEyQfzsQHozyeXzES,1989 (Taylor's Version) [Deluxe],2023-10-27
60,Wonderland (Taylor's Version),6HRsJu8vcnzYDN4t0570FY,1989 (Taylor's Version) [Deluxe],2023-10-27
61,You Are In Love (Taylor's Version),0TyGh27YQ5LknmiDhCzJiT,1989 (Taylor's Version) [Deluxe],2023-10-27
62,New Romantics (Taylor's Version),5M787RexsAiVYjQusM98CV,1989 (Taylor's Version) [Deluxe],2023-10-27
63,"""Slut!"" (Taylor's Version) (From The Vault)",0CD7DzeCsuPJygddqlUVYa,1989 (Taylor's Version) [Deluxe],2023-10-27
64,Say Don't Go (Taylor's Version) (From The Vault),3CCRVu4F91Qp2mnGjmWBrf,1989 (Taylor's Version) [Deluxe],2023-10-27
65,Now That We Don't Talk (Taylor's Version) (From The Vault),5QUIK7ZtziW8kGWo8RqopF,1989 (Taylor's Version) [Deluxe],2023-10-27
66,Suburban Legends (Taylor's Version) (From The Vault),6M9ppdfFjR1AbpUl3Y8DcV,1989 (Taylor's Version) [Deluxe],2023-10-27
67,Is It Over Now? (Taylor's Version) (From The Vault),6IG3sQ8s9nfk6TUlVzRhbN,1989 (Taylor's Version) [Deluxe],2023-10-27
68,Bad Blood (feat. Kendrick Lamar) (Taylor's Version),6qAcApH8obo8eqatCKUHd9,1989 (Taylor's Version) [Deluxe],2023-10-27
69,Welcome To New York (Taylor's Version),1hR8BSuEqPCCZfv93zzzz9,1989 (Taylor's Version),2023-10-26
70,Blank Space (Taylor's Version),45wMBGri1PORPjM9PwFfrS,1989 (Taylor's Version),2023-10-26
71,Style (Taylor's Version),1hjRhYpWyqDpPahmSlUTlc,1989 (Taylor's Version),2023-10-26
